OTUID	SDF1	SDF10	SDF11	SDF12	SDF13	SDF14	SDF15	SDF16	SDF17	SDF18	SDF19	SDF2	SDF20	SDF3	SDF4	SDF5	SDF6	SDF7	SDF8	SDF9	SDFP10A	SDFP10B	SDFP11A	SDFP11B	SDFP12A	SDFP12B	SDFP13A	SDFP13B	SDFP14A	SDFP14B	SDFP15A	SDFP15B	SDFP16A	SDFP16B	SDFP17A	SDFP17B	SDFP18A	SDFP18B	SDFP19A	SDFP19B	SDFP1A	SDFP1B	SDFP20A	SDFP20B	SDFP2A	SDFP2B	SDFP3A	SDFP3B	SDFP4A	SDFP4B	SDFP5A	SDFP5B	SDFP6A	SDFP6B	SDFP7A	SDFP7B	SDFP8A	SDFP8B	SDFP9A	SDFP9B
de751cc3f39308e4d940148842c46c64	49.0	27.0	29.0	31.0	49.0	79.0	26.0	28.0	26.0	70.0	56.0	23.0	62.0	125.0	22.0	0.0	81.0	29.0	0.0	48.0	0.0	27.0	54.0	51.0	0.0	0.0	20.0	20.0	0.0	84.0	32.0	24.0	27.0	39.0	101.0	0.0	46.0	0.0	104.0	0.0	32.0	45.0	22.0	76.0	29.0	110.0	64.0	38.0	57.0	43.0	34.0	13.0	39.0	47.0	0.0	0.0	65.0	0.0	130.0	51.0
49cceb8d186afb816a9574a76d0c8bf1	0.0	0.0	30.0	23.0	60.0	0.0	0.0	0.0	0.0	26.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	231.0	201.0	180.0	45.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	16.0	58.0	43.0	128.0	242.0	58.0	169.0	114.0	76.0	22.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	0.0
99f6792b3726cb2eb52c4027ec8f17e4	0.0	38.0	26.0	42.0	30.0	38.0	0.0	51.0	42.0	0.0	80.0	52.0	30.0	0.0	62.0	51.0	95.0	0.0	54.0	41.0	0.0	23.0	24.0	99.0	0.0	20.0	0.0	0.0	29.0	214.0	33.0	14.0	28.0	38.0	67.0	69.0	0.0	0.0	71.0	0.0	0.0	0.0	47.0	25.0	48.0	165.0	19.0	0.0	75.0	33.0	41.0	0.0	24.0	50.0	0.0	0.0	29.0	63.0	137.0	93.0
446439c87119b79ef809045c571fb6e3	0.0	16.0	3.0	10.0	127.0	0.0	0.0	114.0	17.0	0.0	44.0	67.0	43.0	0.0	0.0	0.0	41.0	14.0	0.0	59.0	9.0	34.0	117.0	43.0	0.0	16.0	47.0	0.0	0.0	19.0	110.0	118.0	67.0	133.0	45.0	0.0	0.0	0.0	69.0	0.0	11.0	19.0	11.0	107.0	108.0	316.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	231.0	60.0
9d96156df98dfb22f27110b5151ed863	224.0	28.0	80.0	68.0	66.0	0.0	30.0	148.0	0.0	72.0	64.0	32.0	234.0	225.0	74.0	32.0	62.0	31.0	67.0	19.0	0.0	0.0	45.0	28.0	46.0	40.0	9.0	0.0	28.0	31.0	0.0	39.0	18.0	63.0	9.0	0.0	0.0	0.0	39.0	0.0	50.0	0.0	0.0	23.0	0.0	50.0	0.0	0.0	47.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	58.0	59.0
8e1ed7e1b2d8ee80e34acdb0fd22c94b	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	46.0	26.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	141.0	0.0	67.0	30.0	71.0	83.0	36.0	0.0	26.0	101.0	12.0	28.0	42.0	54.0	105.0	0.0	0.0	176.0	16.0	25.0	28.0	0.0	0.0	188.0	219.0	140.0	23.0	0.0	0.0	0.0	0.0	37.0	27.0	228.0	89.0	49.0	0.0	82.0	9.0
7472bb8873d646c89582bb772aec68be	241.0	46.0	24.0	148.0	62.0	27.0	52.0	75.0	30.0	44.0	44.0	25.0	56.0	26.0	34.0	32.0	80.0	88.0	62.0	118.0	0.0	0.0	33.0	36.0	32.0	31.0	0.0	17.0	0.0	23.0	40.0	35.0	68.0	48.0	46.0	11.0	0.0	0.0	24.0	0.0	35.0	43.0	26.0	31.0	28.0	41.0	41.0	0.0	0.0	52.0	15.0	0.0	12.0	0.0	38.0	39.0	15.0	0.0	28.0	32.0
4110b9bb2704771cc9efe08f24cd693e	0.0	8.0	0.0	0.0	25.0	0.0	0.0	4.0	0.0	183.0	6.0	0.0	87.0	17.0	0.0	0.0	56.0	0.0	0.0	0.0	18.0	22.0	0.0	0.0	0.0	10.0	0.0	31.0	59.0	152.0	54.0	17.0	78.0	20.0	70.0	8.0	220.0	136.0	59.0	0.0	84.0	73.0	46.0	46.0	0.0	0.0	17.0	36.0	9.0	45.0	37.0	34.0	70.0	38.0	14.0	65.0	24.0	27.0	0.0	37.0
6e2a66942aa974bc88a1934c581765c0	0.0	8.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	149.0	11.0	0.0	85.0	13.0	0.0	0.0	55.0	0.0	0.0	0.0	30.0	17.0	0.0	0.0	0.0	14.0	0.0	28.0	48.0	151.0	50.0	30.0	74.0	17.0	63.0	17.0	189.0	143.0	71.0	7.0	59.0	96.0	47.0	54.0	0.0	0.0	26.0	46.0	11.0	40.0	44.0	33.0	63.0	29.0	19.0	64.0	28.0	25.0	5.0	47.0
9e886984b1629f33821aa87387d8962b	246.0	88.0	218.0	53.0	44.0	132.0	58.0	54.0	106.0	0.0	12.0	22.0	11.0	31.0	23.0	113.0	28.0	399.0	120.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	74.0	0.0	0.0	0.0
