Feature ID	Taxon	Confidence
5b1cab5c3f75f540b20231ded8e93e5f	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_[XIV]	0.9999999800388811
f7bcbd23df48f2438b0dbb08b2172e06	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__sp._HMT_183	0.9906141162567702
776de4e0bec92bc78b666b3101915e42	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.9999989352393694
59f3fb66f17e5c99c19bfcc149706a71	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Bergeyella;s__sp._HMT_322	0.9996626523045549
b71664627b58a374f60471011be5e0d0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.9999997607135714
d04a64b903e2948b91c189ed2e7cd29a	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas	0.9686716652601867
fd167f4a425fc15fdbc93ea6a03a6b7c	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__mutans	0.9819694242989384
9b03d0845e41e5a80b0ab2bb57b5e43a	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa	0.9612150381764947
b7902797eeabdfdc15538f5f21072d10	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_[G-1];s__[G-1]_bacterium_HMT_075	0.9999999995161772
190641e25f0948967e441dcbff7f5677	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria	0.9996589368512396
ab2bc597655da8b04416508cda6a359d	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.9981282904590609
e7afdc863d4e7ea0dd6c4dba48e94491	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__sp._HMT_930	0.988042287141752
8514b1508f26d668fa021bc9c50b5983	k__Bacteria;p__Saccharibacteria_(TM7);c__Saccharibacteria_(TM7)_[C-1];o__Saccharibacteria_(TM7)_[O-1];f__Saccharibacteria_(TM7)_[F-1];g__Saccharibacteria_(TM7)_[G-4];s__(TM7)_[G-4]_bacterium_HMT_355	0.9244274301183679
7b78211456c3846275d58cf408025b1e	k__Bacteria;p__Saccharibacteria_(TM7);c__Saccharibacteria_(TM7)_[C-1];o__Saccharibacteria_(TM7)_[O-1];f__Saccharibacteria_(TM7)_[F-1];g__Saccharibacteria_(TM7)_[G-1]	0.9994974606629498
b5ee18522d057b266d15a5fc347b350b	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__showae	0.9549593595580815
76e5d19b997b054e5a9576d1247a747b	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	0.9864733415336542
81e193ef915b9bf6d2e7dc43097e57c9	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__sp._HMT_417	0.821530899455989
f76d7122370b3f7f09efff2544338f70	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__defectiva	0.9997051763985282
cfc2a99704d29e176da420d42fd9ad4a	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.9983811056054513
6e963c28d09ece607913a1791366acc0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__histicola	0.9067324508418629
3e69ddea4b2bbb65551e1cd1af6f7744	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.9999890773587045
